Season,Episode,Title,Airdate,Synopsis,Director,Writers
4,20,Cover Story,"April 10, 2007.","While investigating the murder of a Petty Officer, McGee's stunned when he discovers that the death is connected to his new unpublished book.",Dennis Smith,David J. North
4,21,Brothers in Arms,"April 24, 2007.","While meeting an informant who has information on international arms dealer La Grenouille, things take a turn for the worse when both Jenny Shepard and the man, Troy Webster are attacked that ends with Jenny surviving and Webster being shot dead, prompting the NCIS team to investigate.",Martha Mitchell,Steven D. Binder
4,22,In the Dark,"May 1, 2007.","The assistant of a blind photographer gets a shock when she spots a dead Petty Officer in one of her boss's photographs with Gibbs and the team investigating, soon realizing that they're searching for the person responsible who not only killed the Petty Officer but also another man.",Thomas J. Wright,Steven D. Binder
4,23,Trojan Horse,"May 8, 2007.","With Jenny in Paris attending an Interpol conference, Gibbs becomes the Acting Director of NCIS but his duties take a back-seat as he and the team investigate the death of a man who was in a cab heading for NCIS HQ.",Terrence O'Hara,Shane Brennan & Donald P. Bellisario
4,24,Angel of Death,"May 22, 2007.","Having returned home, Jenny gets a shock when she realizes that she had a visitor whom she suspects might be her supposedly dead father while all NCIS agents are scheduled for a Homeland Security polygraph test which the CIA has arranged for some reason with Gibbs later learning that Jenny is the true target while Tony and Jeanne later find themselves fighting for their lives when they're taken hostage by a drug dealer who is desperate to remove his shipment of drugs from the dead body packer.",Dennis Smith,Donald P. Bellisario
5,1,Bury Your Dead,"September 25, 2007.","As Jenny's undercover operation hits a hurdle, she's forced to disclose Tony's role in the operation to Gibbs, McGee and Ziva, all of whom are left stunned by the truth concerning Tony's mysterious and unexpected disappearances at times. As they rally around and attempt to capture the Frog once and for all, an unthinkable tragedy occurs but all is not what it seems.",Thomas J. Wright,Shane Brennan
5,2,Family,"October 2, 2007.","A Petty Officer along with the original car's driver are both found dead on a country road. At first, it appears to be an ordinary car accident but the team soon discover evidence strongly suggesting that the Petty Officer was murdered. During an autopsy, Ducky later finds evidence that the woman was pregnant and gave birth just before she died, sending the team in a desperate race against the clock as they not only attempt to arrest the killer but also recover the missing baby before it's too late while Tony tries to come to terms with recent events.",Martha Mitchell,Steven D. Binder
5,3,Ex-File,"October 9, 2007.","When a Marine Captain is found dead on an Army base with one of the witnesses being Gibbs's third ex-wife, the NCIS team open an investigation to find the killer with Gibbs's past and present relationships threatening to collide with each other.",Dennis Smith,Alfonso Moreno
5,4,Identity Crisis,"October 16, 2007.","A normal autopsy for Ducky goes wrong when it's discovered that one of his research cadavers was actually murdered. The NCIS team and the FBI join forces to track down a man capable of supplying people with new identities for a price but they soon discover that a group of terrorists who have given new IDs are on the way to America, raising the concern of a possible terrorist attack.",Thomas J. Wright,Jesse Stern
5,5,Leap of Faith ,"October 23, 2007.","A Navy Lieutenant who worked at the Pentagon as an intelligence officer threatens to commit suicide by jumping off a high building, forcing the NCIS team to be called to the crime scene. Gibbs intervenes and attempts to persuade the Naval officer not to do it but the case is upgraded to murder when the Lieutenant is shot and ultimately falls to his death. Now, the team must capture his killer who may be responsible for jeopardizing many counter-intel operations while Tony believes that Abby might be leaving NCIS, having considered a job in the private sector.",Dennis Smith,George Schenck & Frank Cardea
5,6,Chimera,"October 30, 2007.","The NCIS team investigate when the body of a sailor is found on board the USNS Chimera, a top-secret naval research ship sailing in the middle of the ocean. After boarding the ship, they find it completely abandoned except for the dead man. Things go from bad to worse when Ducky determines that the dead man died from viral hemorrhagic fever with Ziva suspecting that they're not alone and that someone else is on board although there might be another person on board as well but there's also a secret lurking on the ship as well, one that could cost the NCIS team their lives.",Terrence O'Hara,Dan E. Fesman
5,7,Requiem,"November 6, 2007.",Gibbs finds himself embarking on an emotional journey into his past after he agrees to help the childhood friend of his late daughter who is being threatened.,Tony Wharmby,Shane Brennan
5,8,Designated Target,"November 13, 2007.",Gibbs and the team investigate the double murder of both a Navy Admiral and a cab driver. It seems that there's no motive whatsoever for the two deaths until the team discover that an African-based assassination squad may be behind the killings.,Colin Bucksey,Reed Steiner
5,9,Lost and Found,"November 20, 2007.",A young boy who's a member of McGee's boy scout group is discovered to have been abducted in 1998 which sends the team searching for the youngster's father but they soon discover that the father's been wanted for murder although not everything is what it seems.,Martha Mitchell,David J. North
5,10,Corporal Punishment,"November 27, 2007.","A Marine being treated for Post-Traumatic Stress Disorder escapes the hospital he was in and goes on the run, forcing the NCIS team to search for him. When they do eventually find the missing Marine, the team find themselves engaging in a brutal fight with the Marine that leaves DiNozzo, McGee and Ziva injured. As the team investigate, they discover that the Marine was the unknowing subject of a secret super soldier experiment until the team later discover new information that changes the entire investigation.",Arvin Brown,Jesse Stern
5,11,Tribes,"January 15, 2008.","The team investigate when the body of a Muslim Marine is discovered near a mosque that the FBI suspect is guilty of terrorist recruitment. Examinations soon reveal that the victim was shot and then poisoned. However, the investigation threatens to grind to a complete halt when the victim's father begs Ducky not to perform an autopsy due to the fact that if Ducky does, then the victim himself will never find any peace in Heaven. Further investigation leads the team to a terrorist who is known as the Recruiter who may be responsible for the Marine's death.",Colin Bucksey,Reed Steiner
5,12,Stakeout,"April 8, 2008.","The team go on a stakeout in hopes of catching the thief responsible for stealing a high-tech naval radar but when a man is murdered nearby, the team join forces with the local Metro Detective to find out who is truly responsible while Ducky has Abby do some mysterious blood work and it appears to be connected to a well-known figure associated with NCIS.",Tony Wharmby,George Schenck & Frank Cardea
5,13,Dog Tags ,"April 15, 2008.","During their attempt to arrest a Navy Petty Officer and a suspected drug-smuggler at Pax River, McGee is left injured when the Officer's dog attacks him. As the team try to get to the bottom of the Officer's death while also trying to dismantle an ongoing drug ring at the Pax River Naval Air Base, Abby puts both her career as a Forensic Scientist and her future at NCIS on the line as she seeks to prove that the dog's innocence.",Oz Scott,Dan E. Fesman & Alfonso Moreno
5,14,Internal Affairs,"April 22, 2008.","A normal work day for the NCIS team is interrupted when an FBI team led by FBI Agent Tobias Fornell arrives at NCIS, bringing with them the news that La Grenouille's body has been discovered. As such, the main NCIS Major Case Response Team are placed under investigation with Jenny soon emerging as the FBI's top suspect while Gibbs soon discovers who told the FBI that DiNozzo was apparently responsible for La Grenouille's murder.",Tony Wharmby,Jesse Stern & Reed Steiner
5,15,In the Zone ,"April 29, 2008.","When a Marine Captain is killed during a suspected mortar attack, Ducky discovers that he was actually shot and that the mortar attack was cover for the murder. While the investigation continues in the U.S, both Tony and NCIS Intel Analyst Nikki Jardine are sent to Iraq to investigate what really happened.",Terrence O'Hara,Linda Burstyn
5,16,Recoil,"May 6, 2008.","Ziva's undercover assignment, which consists of her trailing a serial killer suspected of having killed five women while cutting off their fingers and preserving them as trophies, goes horribly wrong when the man she's tracking becomes suspicious of her, forcing Ziva into a life or death situation. As Ziva tries to come to terms with what she's done, the team soon realize that Hoffman might have a partner which leads them to search for the supposed copycat killer.","James Whitmore, Jr",George Schenck & Frank Cardea & Dan E. Fesman
5,17,About Face,"May 13, 2008.",NCIS investigate when the body of a civilian is found at a construction site and the team jump into action when NCIS's Medical Examiner Assistant Jimmy Palmer is threatened by an unknown assassin.,Dennis Smith,Alfonso Moreno & Reed Steiner & Jesse Stern
5,18,Judgment Day Part 1,"May 20, 2008.","When a former NCIS Special Agent is found dead in a swimming pool at his home in Los Angeles, Jenny, Tony and Ziva travel to Los Angeles to attend the dead Agent's funeral. An encounter at the dead former agent's memorial service has Jenny greatly unnerved and soon realizing that the agent's death may not have been natural after all, prompting her to bring in an ally of the NCIS team to help out. As Jenny and Mike dig deeper into the case, they're unaware of the fact that the same group of assassins that killed the NCIS agent are after them while Tony and Ziva attempt to find Jenny who has ditched them while they were in Los Angeles but tragedy lies in wait and it's something that threatens to change the structure of the NCIS agency forever.",Thomas J. Wright,Steven D. Binder & David J. North
5,19,Judgment Day Part 2,"May 20, 2008.","As NCIS struggles to come to terms with the news that one of their own is dead, Gibbs and the NCIS team attempt to find a motive for the killing while trying to deal with what has happened.",Thomas J. Wright,Steven D. Binder & David J. North & Christopher J. Waild
6,1,Last Man Standing,"September 23, 2008.","Four months after Gibbs's original team was dismantled, Gibbs and his new team find themselves investigating the death of a Petty Officer, Gibbs discovering that the move is connected to Vance's decision to break up his old team. With help from McGee, Gibbs and Vance soon find information and knowledge of a mole operating in the NCIS agency, one who's illegally selling state secrets.",Tony Wharmby,Shane Brennan
6,2,Agent Afloat,"September 30, 2008.","A Navy Lieutenant assigned to the USS Seahawk apparently falls overboard in a supposed suicide but when McGee and Ziva discover that the Lieutenant's wife dead at her home in D.C., the NCIS team investigate yet find no motive whatsoever for the killing. When DiNozzo, who's now Agent Afloat on the Seahawk, finds that the Navy Lieutenant in question is actually dead, the team come to the horrifying conclusion that whoever is responsible for both deaths is also planning on releasing anthrax onto the Seahawk.",Thomas J. Wright,Dan E. Fesman & David J. North
6,3,Capitol Offense,"October 7, 2008.","When a Navy Lieutenant Commander who was having an affair is found dead, Gibbs finds that the affair was with old friend Senator Patrick Kiley, a former Marine officer who served with Gibbs. It seems like a simple case for the team but not everything is what it appears to be while Abby embarks on her own personal investigation to find out who stole her cupcake.",Dennis Smith,George Schenck & Frank Cardea
6,4,Heartland,"October 14, 2008.","Two Marines are ambushed and subsequently attacked in an alleyway while outside a nightclub. One dies from injuries while the other survives but is left with severe injuries, prompting the NCIS team to be called to the scene. The team's investigation soon leads them to Stillwater, PA, where one of the Marines originally hailed from and which also happens to be Gibbs's hometown. Gibbs, McGee and Ziva head for Stillwater with Gibbs forced to confront his past as well as some people, one of whom happens to be related to him.",Tony Wharmby,Jesse Stern
6,5,Nine Lives,"October 21, 2008.","The NCIS team investigate when a Marine is found murdered in his garage but things take a turn when they discover that the main suspect is in fact a witness under FBI protection. FBI agent Tobias Fornell is leading the team as the suspect is due to testify against a Mob Boss and the investigation grows even more intense when the suspect is caught, fleeing from a crime scene that has the body of another Marine in it while Ziva's plans for a vacation in Tel Aviv have Tony interested.",Dennis Smith,Linda Burstyn & Dan E. Fesman & David J. North
6,6,Murder 2.0,"October 28, 2008.","When the body of a civilian is discovered in a water tank on a Marine base, the NCIS team investigate and soon discover that they're searching for a serial killer who's taunting them by leaving messages concerning the whereabouts of his next victim.",Arvin Brown,Steven D. Binder
6,7,Collateral Damage,"November 11, 2008.","When a security guard is shot dead while trying to stop a hold-up at a bank in Quantico, the team with the help of a new recruit to NCIS investigate the crime and they soon discover that the heist is not what it appears to be while Gibbs begins to suspect that after recent events, the mole is still on the loose.",Terrence O'Hara,Alfonso Moreno
6,8,Cloak,"November 18, 2008.",The NCIS team participate in a dangerous war game held in a top-secret military facility and the truth about one member of NCIS is finally revealed.,"James Whitmore, Jr",Jesse Stern
6,9,Dagger,"November 25, 2008.","With Michelle Lee having finally been exposed as the true NCIS mole, Gibbs and the NCIS team work with the now-disgraced Agent to capture her handler and rescue her sister before it's too late but not everything is what it seems.",Dennis Smith,Reed Steiner & Christopher J. Waild
6,10,Road Kill,"December 2, 2008.","The NCIS team investigate the death of a Navy Petty Officer and are led into the violent, brutal and no-holds-barred world of illegal underground street fighting.",Thomas J. Wright,Steven Kriozere
6,11,Silent Night,"December 16, 2008.","Working on a double homicide over Christmas, the team investigate a Navy Petty Officer, Ned Quinn, who was thought to have died in a fire seventeen years ago and they discover a shocking secret about what really happened at the crime scene.",Tony Wharmby,George Schenck & Frank Cardea
6,12,Caged,"January 6, 2009.","While getting a signed confession from a possible suspect after the skeleton of a dead Navy Lieutenant is found in a forest, McGee's interview at the prison takes a turn for the worse when a guard stumbles in, dead, triggering a riot, with the inmates responding by taking a few guards as well as McGee himself hostage. The inmates only have one demand: they want the murderer, not all of them, to be brought to justice. Gibbs, Tony, Ziva, Abby and Ducky must race against the clock as well as the prison warden's deadline to find out who's truly responsible and save McGee before it's too late.",Leslie Libman,Alfonso Moreno
6,13,Broken Bird,"January 13, 2009.","A routine case goes wrong when Ducky is stabbed in the hand by a female bystander who flees the scene. With Ducky out for the time being due to his injuries, Dr. Jordan Hampton becomes his temporary replacement while the team dig into Ducky's past and soon discover some disturbing secrets concerning the time he served in Afghanistan.","James Whitmore, Jr",Jesse Stern
6,14,Love and War,"January 27, 2009.",A Navy Captain goes missing while driving late at night and is eventually found dead in a cabin. The team suspect that his murder may be espionage-related but everything changes when they uncover a clue that has them believing the officer's life might be a motive for his death.,Terrence O'Hara,Steven D. Binder & David J. North
6,15,Deliverance,"February 10, 2009.","The NCIS team investigate when a Marine's body is found in a downtown area of D.C. known as Liberty Heights. During the case, they discover that the victim was once a member of a vicious street gang. After finding his service number written in blood at the scene, Gibbs has to face his past while the team begin wondering about the possibility of Gibbs being related to one suspect.",Dennis Smith,Dan E. Fesman & Reed Steiner
6,16,Bounce,"February 17, 2009.","When a man is found dead, the NCIS team investigate with DiNozzo later discovering that the death is connected to a case that he worked on during his time as team leader three years ago.",Arvin Brown,Steven D. Binder & David J. North
6,17,South by Southwest,"February 24, 2009.","When an NCIS Special Agent is killed, the team's investigation sends Gibbs and Tony to Arizona. With the help of a local Sheriff, they seek to find a woman that the Agent contacted before his death, only to learn that those responsible for killing the Agent are now targeting the woman as well.",Thomas J. Wright,George Schenck & Frank Cardea
6,18,Knockout,"March 17, 2009.","When a friend of Vance's is murdered, Vance heads to Chicago with Ziva and McGee and begins his own investigation into the death, prompting Gibbs to dig into Vance's past where he soon discovers that all is not what it seems.",Tony Wharmby,Jesse Stern
6,19,Hide and Seek,"March 24, 2009.",The NCIS team investigate when a revolver is found in the possession of a twelve year old boy who is also the son of a Lieutenant Commander in the Navy. It's soon discovered that the gun was wielded by a well-known criminal but what should be an easy case quickly becomes complicated when Abby discovers traces of brain matter on the gun which means that there's a second victim out there who's unaccounted for.,Dennis Smith,Dan E. Fesman
6,20,Dead Reckoning,"March 31, 2009.",Gibbs joins forces with CIA agent Trent Kort after Kort calls in a favor with the investigation soon leading the two men and the rest of the NCIS team to a man with links to a crime lord but the team soon discover that not everything is what it seems.,Terrence O'Hara,Reed Steiner & Christopher J. Waild & David J. North
6,21,Toxic,"April 7, 2009.",Abby joins a top-secret project but soon discovers that nothing is what it seems while the NCIS team investigate the discovery of a Marine's body and soon realize that it might be connected to what Abby's working on.,Thomas J. Wright,Steven D. Binder
6,22,Legend Part 1,"April 28, 2009.","When a Marine is found dead at a building site in downtown Washington D.C., the NCIS team investigate and discover it's connected to a case their counterparts at the NCIS Office of Special Projects in Los Angeles are working on. As Gibbs and McGee travel to LA to meet with the OSP team, they soon learn that the murder is far bigger than previously thought and that it might also involve members of an inactive terrorist cell located somewhere in downtown Los Angeles.",Tony Wharmby,Shane Brennan
6,23,Legend Part 2,"May 5, 2009.","In Los Angeles, Gibbs and McGee, along with the NCIS Office of Special Projects, continue their search for a terrorist cell that is located somewhere in downtown L.A., but they face a battle on their hands and a race against the clock as Mossad Officer Michael Rivkin is searching for the same cell. Back in Washington D.C., Tony, fearing Ziva's loyalty may not be towards NCIS, begins conducting a top-secret investigation into Ziva's activities, one that could ultimately jeopardize their partnership.","James Whitmore, Jr",Shane Brennan
6,24,Semper Fidelis,"May 12, 2009.","While playing poker at SECNAV Phillip Davenport's house, a security breach occurs which also results in the death of an ICE agent which prompts the NCIS team to be called in to investigate the crime scene. They soon begin investigating with assistance from both ICE agent Julia Foster-Yates and FBI agent Tobias Fornell with evidence soon emerging that the supposed poker game was in fact a top-secret intelligence summit while Tony finally comes face-to-face with Ziva's former partner and boyfriend, Michael Rivkin with their meeting leading up to an explosive confrontation and vicious fight between the two men, one that threatens to throw the entire NCIS team into disarray once again.",Tony Wharmby,Jesse Stern
6,25,Aliyah,"May 19, 2009.","In the aftermath of Rivkin and Tony's fight against each other which later ends with Rivkin dying from the wounds he sustained and Tony surviving with a broken left arm, the NCIS team immediately take jurisdiction and also control of the case and begin investigating the entire affair with things becoming increasingly complicated when Ziva's apartment which is also the main scene of the fight is later destroyed in a mysterious explosion. As everyone tries to come to terms with recent events, Gibbs, Tony, Ziva and Vance soon find themselves heading to Tel Aviv, Israel where they meet Ziva's father, Mossad Director Eli David who is demanding answers into Rivkin's death while back in Washington D.C., McGee and Abby continue searching for information. Eventually, various relationships and friendships are all pushed to breaking point as resentment and anger threatens to destroy Tony and Ziva's partnership with Gibbs later making a potentially life-changing decision, one that could have huge consequences for one member of the NCIS team.",Dennis Smith,David J. North
7,1,Truth or Consequences,"September 22, 2009.","As the NCIS team struggle to cope with Ziva's departure from the agency as well as their respective lives, they find themselves being forced to return to work and adjust to some sense of normality while attempting to hire a new replacement although none of the women that are chosen seem to match up with the team's personalities or abilities. However, upon learning that Ziva may have died during her mission in the Horn of Africa, Gibbs, Tony and McGee, having been left grief-stricken by the grim news soon find themselves embarking on a mission of revenge as they seek to kill the leader of a terrorist camp Ziva had been tasked with finding down and eliminating but not everything is what it seems.",Dennis Smith,Jesse Stern
7,2,Reunion,"September 29, 2009.","The bodies of three men at a bachelor party are found in a hotel room, prompting Gibbs, Tony and McGee to investigate and determine the motive for the deaths while Ziva returns and her future at NCIS now rests in the hands of both Gibbs and Vance.",Tony Wharmby,Steven D. Binder
7,3,The Inside Man,"October 6, 2009.","A political blogger who had been giving NCIS a negative press in regards to the death of a young Naval officer who had been the victim of a car accident arrives at a building site but later dies after being pushed off a bridge. The NCIS team investigate the blogger's death as well as the possibility that they might have blown the investigation into Arnett's death despite facing heat from a Metro Police Department Detective while, having returned to NCIS after being rescued while imprisoned in Africa, Ziva applies to become an NCIS Special Agent.",Thomas J. Wright,George Schenck & Frank Cardea
7,4,"Good Cop, Bad Cop","October 13, 2009.","When Ziva's application to become an official NCIS Special Agent is rejected, Vance confronts her with the news of a Marine whose mangled and decayed body has been found off the coast off Tanzania by a fishing boat, forcing Ziva to recall a series of events that led her to the terrorist camp and her eventual capture with things growing intense when a fellow Mossad officer from Ziva's past arrives at NCIS, demanding Ziva return with him to Israel, Gibbs and the rest of the team race against the clock to prove Ziva's innocence once and for all.",Leslie Libman,Jesse Stern & David J. North
7,5,Code of Conduct,"October 20, 2009.","As Washington D.C. celebrates Halloween, the NCIS team investigate when a Marine is found dead in a car in a supposed suicide although evidence later suggests that the suicide was staged and that it's actually murder, leading the team to find a killer in a case where the victim was disliked by nearly everyone while Ziva attempts to adjust to her new role as an NCIS Special Agent and also as the Probie of the team.",Terrence O'Hara,Reed Steiner & Christopher J. Waild
7,6,Outlaws and In-Laws,"November 3, 2009.","The bodies of two dead men on board a boat Gibbs made shows up in San Diego Harbor, prompting Gibbs and Vance to head to Mexico to investigate while Gibbs soon discovers that his mentor and his mentor's family may be in great danger.",Tony Wharmby,Jesse Stern
7,7,Endgame,"November 10, 2009.","When the body of a doctor is found in a park in D.C., the NCIS Major Case Response Team are summoned to the scene to investigate. It appears to be a normal case but things soon change when much to the team's surprise, NCIS Director Vance personally arrives at the crime scene and informs that the team that the killer they're all looking for is someone Vance has been hunting down for the last twenty years while McGee meets a woman who is hiding a secret.","James Whitmore, Jr",Gary Glasberg
7,8,Power Down,"November 17, 2009.","An attack on SwiftCast, an Internet provider is facilitated by an explosion at Potomac electric substation which leaves Washington D.C. without any electricity also severely exposed, forcing the NCIS team to use old-school methods to investigate the death of a Naval officer.",Thomas J. Wright,Steven D. Binder & David J. North
7,9,Child's Play,"November 24, 2009.","When a Marine is found dead hanging from a series of sticks in a cornfield, his right hand missing, NCIS investigate and are led to a military intelligence base that uses genius children to crack military codes with the team soon realizing that one of the youngsters who's there is creating collages that apparently have military secrets in them and that she may be in grave danger.",William Webb,Reed Steiner
7,10,Faith,"December 15, 2009.","The body of a Marine is found in some woods in the days leading up to Christmas and the team discover that he had recently become a Muslim, a decision that could serve as the main motive for his death. As Abby attempts to reunite a mother and son, even going so far as to recruit McGee for help, Gibbs is left shocked when he gets a surprise visit from his father who is hiding something.",Arvin Brown,Gary Glasberg
7,11,Ignition,"January 5, 2010.","While investigating a bizarre murder of a Navy pilot which McGee has the lead on, the NCIS team butts heads with a mysterious attorney who has a grudge against Gibbs.",Dennis Smith,Jesse Stern
7,12,Flesh and Blood,"January 12, 2010.",The NCIS team investigate an assassination attempt on the life of a Saudi prince who is in flight training and in the process meet Tony's father who is seemingly connected to the investigation.,Arvin Brown,Frank Cardea & George Schenck
7,13,Jet Lag,"January 26, 2010.","As Tony and Ziva escort a witness home from Paris, their assignment takes a very serious turn when they discover a hired assassin is targeting the very witness they're protecting while back in D.C, Gibbs and McGee investigate the death of a Marine and in the process, discover some unsettling secrets about the victim.",Tony Wharmby,Christopher J. Waild
7,14,Masquerade,"February 2, 2010.","After a car explodes during a chase in downtown D.C, the NCIS team discover that it contains radioactive material that a lone terrorist group called Libertad Nueva is using the material to create dirty bombs. With time of the essence, the team attempt to solve the case but all is not what it seems.","James Whitmore, Jr",Steven D. Binder
7,15,Jack-Knife,"February 9, 2010.","The NCIS team investigate the murder of a Marine with the investigation later leading them to reunite with both FBI agent Tobias Fornell and former Marine Damon Werth. As Ziva and Werth prepare to help infiltrate and dismantle a trafficking ring that's been illegally operating across various states in an operation, the entire team soon discover that not all is what it seems.",Dennis Smith,Jesse Stern
7,16,Mother's Day,"March 2, 2010.",A naval officer's death has the team joining forces with a Norfolk Police Detective to find out who's responsible while Gibbs is left stunned when one of the witnesses turns out to be his former mother-in-law which forces Gibbs to confront his painful past.,Tony Wharmby,Gary Glasberg & Reed Steiner
7,17,Double Identity,"March 9, 2010.","A man stumbles out of a park, having been shot and the team discover that he's a Marine who went missing in action during a mission in Afghanistan six years previously. During the investigation, the team soon learn that the Marine now has two completely separate lives and that he's also married to two different women but the case becomes a murder investigation after the man dies while Tony interviews him, prompting the team to search for the one responsible for shooting the former Marine and as that happens, Ducky's strange behavior has the team, Abby and Ziva especially concerned.",Mark Horowitz,George Schenck & Frank Cardea
7,18,Jurisdiction,"March 16, 2010.","The NCIS team investigate the death of a Navy diver with the investigation leading them to their counterparts with the Coast Guard Investigation Service with whom they share many common traits. However, the investigation takes a turn when it's discovered that the body in question is not that of the navy diver but someone else, leading the team into a case that seems to get more and more complicated at every turn.",Terrence O'Hara,Lee David Zlotoff
7,19,Guilty Pleasure,"April 6, 2010.","When a Navy Lieutenant is found dead, the team suspect that a call-girl is responsible, forcing them to call on a former Hollywood Madam in order to help them catch the real killer while following a recent argument with McGee, Tony starts hanging out with Detective Philip McCadden.","James Whitmore, Jr",Reed Steiner & Christopher J. Waild
7,20,Moonlighting,"April 27, 2010.",NCIS and the FBI join forces after NCIS's polygraph operator lands a night job that results in the death of a Naval Officer.,Thomas J. Wright,Steven D. Binder & Jesse Stern
7,21,Obsession,"May 4, 2010.","A Navy Lieutenant dies but the NCIS team are completely stumped as to what killed him. As they go searching for answers and the killer, Tony becomes fascinated with the dead Lieutenant's sister.",Tony Wharmby,George Schenck & Frank Cardea
7,22,Borderland,"May 11, 2010.","The remains of a Marine are discovered in a crushed car in a junkyard, prompting the NCIS team to investigate where they discover evidence strongly suggesting that the Marine may have been a serial killer while Abby heads to Mexico to give a speech to a group of Mexican forensic scientists at the request of Mexican Department official Alejandro Rivera with McGee travelling along, having been assigned as her protection but the trip soon takes a turn for the worse when Abby, McGee and the students are held at gunpoint by a ruthless drug dealer. Furthermore, Abby is left deeply shocked upon discovering that the case she's been tasked with investigating concerns a well known member of the NCIS team.",Terrence O'Hara,Steven D. Binder
7,23,Patriot Down,"May 18, 2010.","The NCIS team investigate when the remains of a badly-charred body are discovered in a campfire and the team as well as the entire agency are left stunned and grief-stricken when the remains are identified as being those of an agent well known to Gibbs. As he struggles to come to terms with the revelation, Gibbs starts to suspect that the killing is an act of revenge against him. The team discovers that the final case that the victim worked on before her murder was the rape of a Navy Petty Officer Second Class and following the revelation in Borderland (episode), Abby tries to talk to Gibbs in the hope of getting him to open up about what happened in Mexico twenty years ago but he refuses, forcing Abby to take drastic measures to get Gibbs to listen to her with the two's professional relationship almost reaching breaking point as they engage in a very tense confrontation. Gibbs later heads to Mexico to save his mentor and his mentor's family from an old enemy, only to discover things aren't what they appear to be.",Dennis Smith,Gary Glasberg
7,24,Rule Fifty-One,"May 25, 2010.","After being captured by a member of the Reynosa Cartel in the previous episode, Gibbs meets the head of the Reynosa Cartel and realizes that his past, one he kept concealed from his NCIS colleagues for twenty years has returned with a vengeance with everyone he cares about being placed in great danger while Ziva, having passed her citizenship tests finally becomes an official citizen of the United States of America.",Dennis Smith,Jesse Stern
8,1,Spider and the Fly,"September 21, 2010.","The NCIS team investigate when the bodies of two men, both of whom were criminals are discovered in a field in West Virginia and during the investigation, Gibbs suspects that the infamous drug lord and the head of the Reynosa Cartel, Paloma Reynosa is responsible for the two killings. As a result, Gibbs and the team are lead into one final battle against Paloma and her brother, Mexican Department official Alejandro Rivera as the two siblings are hellbent on getting revenge against Gibbs who killed their father nearly twenty years ago. With Paloma still on the loose, leaving nothing but a trail of bodies in her wake, Gibbs must do whatever is necessary to protect the ones he loves with Mike Franks assisting him as the entire NCIS team rally together to stop the Reynosa Cartel once and for all.",Dennis Smith,Gary Glasberg
8,2,Worst Nightmare,"September 28, 2010.",A gas attack at a school results in the disappearance of a young girl. The NCIS team investigate but their efforts are jeopardized by her grandfather who will stop at nothing in saving his missing granddaughter.,Tony Wharmby,Steven D. Binder
8,3,Short Fuse,"October 5, 2010.",NCIS investigate when a Marine Sergeant shoots dead an intruder who is later revealed to have been a hitman.,Leslie Libman,George Schenck & Frank Cardea
8,4,Royals and Loyals,"October 12, 2010.","After an American sailor is found dead in a hot tub, the team investigate and they uncover evidence of an international-espionage plot involving a Royal Ship, the British Secret Service and even the CIA, only for things to take a turn when they learn that their crime scene is on a British Navy vessel.",Arvin Brown,Reed Steiner
8,5,Dead Air,"October 19, 2010.","When a politically outspoken radio host and his guest, a Navy Commander are both gunned down during a radio show, the investigation leads the NCIS team to a terrorist conspiracy involving an extreme home-grown terrorist group and a potentially devastating threat that could jeopardize national security.",Terrence O'Hara,Christopher J. Waild
8,6,Cracked,"October 26, 2010.","While the team investigate a Navy researcher who died after being struck by a bus, Abby becomes fixated on a series of patterns of mysterious codes written on the victim's body but the team soon begin to worry that Abby is becoming too obsessed with cracking the codes rather than helping them find who is responsible for the victim's death.",Tony Wharmby,Nicole Mirante-Matthews
8,7,Broken Arrow,"November 9, 2010.","To DiNozzo's surprise, Gibbs recruits DiNozzo's father, Anthony D. DiNozzo, Sr to help solve the murder of a high-level executive who became involved with a lost nuclear weapon that disappeared during the Cold War but things go from bad to worse when the team discover that a lone group is planning to get their hands on the nuclear bomb.",Arvin Brown,George Schenck & Frank Cardea
8,8,Enemies Foreign,"November 16, 2010.","After apprehending a pickpocket, the NCIS team soon find themselves facing figures from their past as they're later tasked with guarding Eli David, the Director of Mossad and Ziva's estranged father when they learn that Eli is the target of an assassination attempt by a rogue Palestinian terrorist group who are also responsible for hijacking a weapons truck.",Dennis Smith,Jesse Stern
8,9,Enemies Domestic,"November 23, 2010.","In the aftermath of the explosion at the safehouse that has left Amit Hadar dead and Vance badly injured, the NCIS team investigate and Gibbs soon discovers that the history behind Vance and Eli David's friendship and how it's all connected to a plot involving rogue Russian operatives that occurred in the 1990s.",Mark Horowitz,Jesse Stern
8,10,False Witness,"December 14, 2010.","When the sole witness in an upcoming murder case goes missing, the Deputy D.A. enlists the NCIS team to help track him down but as it turns out, the D.A may be hiding something while McGee and Ziva attempt to discover the reason for Tony's strange behavior.","James Whitmore, Jr",Steven D. Binder
8,11,Ships in the Night,"January 11, 2011.","The NCIS team investigate when a Marine is shot dead while on a pleasure cruise which reunites them with Coast Guard Investigative Service (CGIS) agent Abigail Borin. During the investigation into the death, the team uncover a plot involving millionaire business magnates and a high-society scandal.",Thomas J. Wright,Reed Steiner & Christopher J. Waild
8,12,Recruited,"January 18, 2011.",The team investigate the death of a naval recruiter on a high school campus while Ducky's mentor and predecessor pays a surprise visit to the NCIS building.,Arvin Brown,Gary Glasberg
