name,actor,role,cast,episode_key
Abigail Sciuto,Pauley Perrette,"Chief Forensic Specialist, NCIS.",Series_Regulars,5x10
Timothy McGee,Sean Murray,"Junior Special Agent, MCRT, NCIS.",Series_Regulars,5x10
Jennifer Shepard,Lauren Holly,Director of NCIS.,Series_Regulars,5x10
Donald Mallard,David McCallum,"Chief Medical Examiner, NCIS.",Series_Regulars,5x10
James Palmer,Brian Dietzen,Ducky's assistant.,Recurring_Cast,5x11
Brent Langer,Jonathan LaPaglia,An FBI agent who was originally a member of Gibbs's own team.,Guest_Cast,5x11
Khalid Mohammed Bakr,Shaun Toub,Abdul Bakr's father.,Guest_Cast,5x11
Abdul Bakr,Walid Amini,The main murder victim.,Guest_Cast,5x11
Ryan Sikes,James Parks,A man who appears in the episode.,Guest_Cast,5x11
Jim Mills,David Haydn-Jones,A man who appears in the episode.,Guest_Cast,5x11
Donna Dunlap,Jennifer Hetrick,A woman who appears in the episode.,Guest_Cast,5x11
Sunni Man,Fred Toma,A man who appears in the episode.,Guest_Cast,5x11
Stevedore,Maria Zambrana,A woman who appears in the episode. Uncredited role.,Guest_Cast,5x11
Leroy Jethro Gibbs,Mark Harmon,NCIS Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,5x11
Anthony DiNozzo Junior,Michael Weatherly,Senior Special Agent and second-in-command of the NCIS Major Case Response Team.,Series_Regulars,5x11
Ziva David,Cote de Pablo,Mossad Liaison to NCIS and also a member of the NCIS Major Case Response Team.,Series_Regulars,5x11
Timothy McGee,Sean Murray,NCIS Junior Special Agent and a member of the NCIS Major Case Response Team.,Series_Regulars,5x11
Abigail Sciuto,Pauley Perrette,"Forensic Specialist, NCIS.",Series_Regulars,5x11
Jennifer Shepard,Lauren Holly,Director of NCIS.,Series_Regulars,5x11
Donald Mallard,David McCallum,"Chief Medical Examiner, NCIS.",Series_Regulars,5x11
James Palmer,Brian Dietzen,Ducky's assistant.,Recurring_Cast,5x12
Nikki Jardine,Susan Kelechi Watson,NCIS Intelligence Analyst.,Recurring_Cast,5x12
Andrea Sparr,Gretchen Egolf,A Metro Police Department Homicide Detective.,Guest_Cast,5x12
Jonathan Chow,Reggie Lee,A defense contractor and also the killer.,Guest_Cast,5x12
Dean Pullman,Ned Vaughn,A Naval Officer.,Guest_Cast,5x12
Dennis Moran,Kevin Rankin,A junkie and a witness.,Guest_Cast,5x12
Joanne Wright,Cyd Strittmatter,Jordyn Wright's mother.,Guest_Cast,5x12
Jordyn Wright,Abigail Mavity,Joanne Wright's daughter.,Guest_Cast,5x12
Sandra Frasier,Adria Dawn,A Tech stationed in MTAC.,Guest_Cast,5x12
Goldilocks,Amy Lyndon,A prostitute.,Guest_Cast,5x12
Squeegee Man,Philip Lenkowsky,A man who appears in the episode.,Guest_Cast,5x12
Scott Matthew Rowe,Jerry Kernion,A businessman and also the main murder victim.,Guest_Cast,5x12
Leroy Jethro Gibbs,Mark Harmon,NCIS Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,5x12
Anthony DiNozzo Junior,Michael Weatherly,Senior Special Agent and second-in-command of the NCIS Major Case Response Team.,Series_Regulars,5x12
Ziva David,Cote de Pablo,Mossad Liaison to NCIS and also a member of the NCIS Major Case Response Team.,Series_Regulars,5x12
Timothy McGee,Sean Murray,NCIS Junior Special Agent and a member of the NCIS Major Case Response Team.,Series_Regulars,5x12
Abigail Sciuto,Pauley Perrette,"Forensic Specialist, NCIS.",Series_Regulars,5x12
Jennifer Shepard,Lauren Holly,"Director of NCIS. Despite being credited, Holly does not appear in this episode.",Series_Regulars,5x12
Donald Mallard,David McCallum,"Chief Medical Examiner, NCIS.",Series_Regulars,5x12
James Palmer,Brian Dietzen,Ducky's assistant.,Recurring_Cast,5x13
David Warfield,Roger Cross,Lieutenant Commander in the United States Navy who is stationed at the Pax River Base.,Guest_Cast,5x13
Erica Perelli,Rachel Kimsey,Petty Officer in the United States Navy and the killer.,Guest_Cast,5x13
Matthew Sanchez,Jorge-Luis Pallo,Lieutenant in the United States Navy.,Guest_Cast,5x13
Colin Dixon,Brian Gross,Petty Officer in the United States Navy.,Guest_Cast,5x13
Lance Tolliver,Matt Corboy,Petty Officer in the United States Navy.,Guest_Cast,5x13
Scott Bowen,Derrick L. McMillon,Lieutenant in the United States Navy.,Guest_Cast,5x13
Pete Bidwell,Tripp Pickell,Petty Officer in the United States Navy and also the second murder victim.,Guest_Cast,5x13
Uniformed Guard,Brian David Jones,A man who appears in the episode.,Guest_Cast,5x13
Seaman,James Ryen,A man who appears in the episode.,Guest_Cast,5x13
Jethro,Rowdy the Dog,A drug-dog.,Guest_Cast,5x13
Leroy Jethro Gibbs,Mark Harmon,NCIS Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,5x13
Anthony DiNozzo Junior,Michael Weatherly,Senior Special Agent and second-in-command of the NCIS Major Case Response Team.,Series_Regulars,5x13
Ziva David,Cote de Pablo,Mossad Liaison to NCIS and also a member of the NCIS Major Case Response Team.,Series_Regulars,5x13
Timothy McGee,Sean Murray,NCIS Junior Special Agent and a member of the NCIS Major Case Response Team.,Series_Regulars,5x13
Abigail Sciuto,Pauley Perrette,"Forensic Specialist, NCIS.",Series_Regulars,5x13
Jennifer Shepard,Lauren Holly,Director of NCIS.,Series_Regulars,5x13
Donald Mallard,David McCallum,"Chief Medical Examiner, NCIS.",Series_Regulars,5x13
Tobias Fornell,Joe Spano,An FBI Agent who leads the FBI's investigation into NCIS.,Recurring_Cast,5x14
Jeanne Benoit,Scottie Thompson,Tony's former girlfriend.,Recurring_Cast,5x14
Trent Kort,David Dayan Fisher,An agent with the CIA.,Recurring_Cast,5x14
Nick Kerry,Alan Smyth,"The drug dealer who took Tony and Jeanne hostage in the Season 4 finale episode, ""Angel of Death"". Archive footage and also uncredited role.",Recurring_Cast,5x14
René Benoit,Armand Assante,"AKA ""La Grenouille"" and Jeanne Benoit's father. Archive footage. Uncredited role.",Recurring_Cast,5x14
Leon Vance,Rocky Carroll,NCIS Assistant Director.,Guest_Cast,5x14
Wentworth,Rob Arbogast,FBI Special Agent.,Guest_Cast,5x14
Iraqi Villager,Marvin D. Bryson,Uncredited role.,Guest_Cast,5x14
Leroy Jethro Gibbs,Mark Harmon,NCIS Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,5x14
Anthony DiNozzo Junior,Michael Weatherly,Senior Special Agent and second-in-command of the NCIS Major Case Response Team.,Series_Regulars,5x14
Ziva David,Cote de Pablo,Mossad Liaison to NCIS and also a member of the NCIS Major Case Response Team.,Series_Regulars,5x14
Timothy McGee,Sean Murray,NCIS Junior Special Agent and a member of the NCIS Major Case Response Team.,Series_Regulars,5x14
Abigail Sciuto,Pauley Perrette,"Forensic Specialist, NCIS.",Series_Regulars,5x14
Jennifer Shepard,Lauren Holly,Director of NCIS.,Series_Regulars,5x14
Donald Mallard,David McCallum,"Chief Medical Examiner, NCIS.",Series_Regulars,5x14
Leon Vance,Rocky Carroll,NCIS Assistant Director.,Recurring_Cast,5x15
Nikki Jardine,Susan Kelechi Watson,A Tech Analyst.,Recurring_Cast,5x15
Ike Varnai,Josh Stamberg,A Major in the United States Marine Corps who's stationed in Iraq who accompanies Tony and Nikki when they're in Iraq.,Guest_Cast,5x15
Kelvin Ridgeway,Rick Hoffman,A suspect.,Guest_Cast,5x15
George Stenner,Patrick Fischler,A man who appears in the episode.,Guest_Cast,5x15
Dina Rankin,Jennifer O'Dell,Marine Captain John Rankin's wife.,Guest_Cast,5x15
John Rankin,Tony Daly,Captain in the United States Marine Corps and the main murder victim as well as the husband of Dina Rankin.,Guest_Cast,5x15
Allan Hayes,Matt McTighe,A man responsible for killing Marine John Rankin.,Guest_Cast,5x15
Jim Gilroy,Brooklyn McLinn,Sergeant in the United States Marine Corps.,Guest_Cast,5x15
Hamida,Anne Bedian,A woman who appears in the episode.,Guest_Cast,5x15
Jameel,Elie Khoury,A young man who appears in the episode.,Guest_Cast,5x15
Iraqi Militia Guard at Road Block,Sammy Sheik,A man who appears in the episode.,Guest_Cast,5x15
Iraqi Militia Guard at Shed,Wolf Amer,A man who appears in the episode.,Guest_Cast,5x15
Iraqi Woman,Ektimal Shbib,A woman who appears in the episode.,Guest_Cast,5x15
Nurse,Samantha Klein,A woman who appears in the episode.,Guest_Cast,5x15
Tabina,Aleene Khoury,A young girl who appears in the episode.,Guest_Cast,5x15
Iraqi Militia,Alex Parlar,Uncredited role.,Guest_Cast,5x15
Iraqi Street Vendor,Hash Patel,Uncredited role.,Guest_Cast,5x15
Leroy Jethro Gibbs,Mark Harmon,NCIS Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,5x15
Anthony DiNozzo Junior,Michael Weatherly,Senior Special Agent and second-in-command of the NCIS Major Case Response Team.,Series_Regulars,5x15
Ziva David,Cote de Pablo,Mossad Liaison to NCIS and also a member of the NCIS Major Case Response Team.,Series_Regulars,5x15
Timothy McGee,Sean Murray,NCIS Junior Special Agent and a member of the NCIS Major Case Response Team.,Series_Regulars,5x15
Abigail Sciuto,Pauley Perrette,"Forensic Specialist, NCIS.",Series_Regulars,5x15
Jennifer Shepard,Lauren Holly,"Director of NCIS. Despite being credited, Holly does not appear in this episode.",Series_Regulars,5x15
Donald Mallard,David McCallum,"Chief Medical Examiner, NCIS.",Series_Regulars,5x15
James Palmer,Brian Dietzen,"Assistant Medical Examiner, NCIS.",Recurring_Cast,5x16
Michael Locke,Steve Kazee,Suspected to be a copycat killer or partner of Andy Hoffman but is later found completely innocent.,Guest_Cast,5x16
Steve Rosetti,Nick Chinlund,Metro Police Detective who works with NCIS on the case.,Guest_Cast,5x16
Kevin Massey,Scott Holroyd,"A Petty Officer in the United States Navy, Massey is also a copycat killer responsible for the death of his own wife, Patricia Massey.",Guest_Cast,5x16
Andrew Hoffman,Michael Hagerty,A serial killer whose MO involved drugging and killing women before cutting off their right index fingers.,Guest_Cast,5x16
Heidi,Ella Thomas,A bartender.,Guest_Cast,5x16
Newscaster,Mia Lee,A woman who appears in the episode.,Guest_Cast,5x16
Devon Katz,Austin Graves,Michael Locke's ex-girlfriend. Uncredited role.,Guest_Cast,5x16
Julie Smight,Kristin Johnson,Hoffman's fourth victim. Uncredited role.,Guest_Cast,5x16
Leroy Jethro Gibbs,Mark Harmon,NCIS Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,5x16
Anthony DiNozzo Junior,Michael Weatherly,Senior Special Agent and second-in-command of the NCIS Major Case Response Team.,Series_Regulars,5x16
Ziva David,Cote de Pablo,Mossad Liaison to NCIS and also a member of the NCIS Major Case Response Team.,Series_Regulars,5x16
Timothy McGee,Sean Murray,NCIS Junior Special Agent and a member of the NCIS Major Case Response Team.,Series_Regulars,5x16
Abigail Sciuto,Pauley Perrette,"Forensic Specialist, NCIS.",Series_Regulars,5x16
Jennifer Shepard,Lauren Holly,Director of NCIS. Credited but doesn't appear.,Series_Regulars,5x16
Donald Mallard,David McCallum,"Chief Medical Examiner, NCIS.",Series_Regulars,5x16
James Palmer,Brian Dietzen,NCIS Assistant Medical Examiner.,Recurring_Cast,5x17
Leon Vance,Rocky Carroll,NCIS Assistant Director.,Recurring_Cast,5x17
Enis Watley,Frank John Hughes,A construction site worker responsible for killing Milo Suskavcevic in self-defense.,Guest_Cast,5x17
Skip Harris,Christopher Darga,A man who appears in the episode.,Guest_Cast,5x17
Mike Norman,Adam O'Byrne,A man who appears in the episode.,Guest_Cast,5x17
Richie Rose,Tyler Jacob Moore,A man who appears in the episode.,Guest_Cast,5x17
Milos Suskavcevic,Scott Checansky,A Serbian national.,Guest_Cast,5x17
Patrick Turner,Stephen Saux,Uncredited role.,Guest_Cast,5x17
Tesla Suskavcevic,James Logan,Milo's brother. Uncredited role.,Guest_Cast,5x17
Leroy Jethro Gibbs,Mark Harmon,NCIS Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,5x17
Anthony DiNozzo Junior,Michael Weatherly,Senior Special Agent and second-in-command of the NCIS Major Case Response Team.,Series_Regulars,5x17
Ziva David,Cote de Pablo,Mossad Liaison to NCIS and also a member of the NCIS Major Case Response Team.,Series_Regulars,5x17
Timothy McGee,Sean Murray,NCIS Junior Special Agent and a member of the NCIS Major Case Response Team.,Series_Regulars,5x17
Abigail Sciuto,Pauley Perrette,"Forensic Specialist, NCIS.",Series_Regulars,5x17
Jennifer Shepard,Lauren Holly,"Director of NCIS. Despite being credited, Holly does not appear in the episode.",Series_Regulars,5x17
Donald Mallard,David McCallum,"Chief Medical Examiner, NCIS.",Series_Regulars,5x17
James Palmer,Brian Dietzen,"Assistant Medical Examiner, NCIS.",Recurring_Cast,5x18
Debra Green,Sheila Frazer,ZNN Reporter.,Recurring_Cast,5x18
Michael Franks,Muse Watson,"Former NIS, NCIS Supervisory Agent.",Recurring_Cast,5x18
Viggo Drantyev,Oleg Taktarov,Natasha's Lieutenant.,Guest_Cast,5x18
Sasha Gordon,Betsy Rue,Decker's girlfriend.,Guest_Cast,5x18
George,Terrence Hardy Jr.,One of the young boys seen at the beginning of the episode.,Guest_Cast,5x18
Frankie,Wyatt Smith,One of the young boys seen at the beginning of the episode and also George's friend.,Guest_Cast,5x18
Monroe,Reginald James,Detective in the Los Angeles Police Department.,Guest_Cast,5x18
William Decker,Marc Vahanian,A former NIS and NCIS agent.,Guest_Cast,5x18
Attendant,Jeff Witzke,An attendant at William Decker's funeral.,Guest_Cast,5x18
Russian Shooter,Bryan Friday,One of Jenny Shepard's assassins. Uncredited role.,Guest_Cast,5x18
Mexican Shooter,Carter Vera,One of Jenny Shepard's assassins.,Guest_Cast,5x18
Reporter,Kristi Vetica,Newspaper Reporter. Uncredited role.,Guest_Cast,5x18
Leroy Jethro Gibbs,Mark Harmon,NCIS Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,5x18
Anthony DiNozzo Junior,Michael Weatherly,Senior Special Agent and second-in-command of the NCIS Major Case Response Team.,Series_Regulars,5x18
Ziva David,Cote de Pablo,Mossad Liaison to NCIS and also a member of the NCIS Major Case Response Team.,Series_Regulars,5x18
Timothy McGee,Sean Murray,NCIS Junior Special Agent and a member of the NCIS Major Case Response Team.,Series_Regulars,5x18
Abigail Sciuto,Pauley Perrette,"Forensic Specialist, NCIS.",Series_Regulars,5x18
Jennifer Shepard,Lauren Holly,Director of NCIS. Later dies in a gunfight in an abandoned diner in the Californian desert that takes place against herself and four other assassins who have been sent to kill her.,Series_Regulars,5x18
Donald Mallard,David McCallum,"Chief Medical Examiner, NCIS.",Series_Regulars,5x18
James Palmer,Brian Dietzen,"Assistant Medical Examiner, NCIS.",Recurring_Cast,5x19
Debra Green,Sheila Frazer,ZNN Reporter.,Recurring_Cast,5x19
Michael Franks,Muse Waston,"Former NIS, NCIS Supervisory Agent.",Recurring_Cast,5x19
Leon Vance,Rocky Carroll,"Assistant Director, NCIS. As a result of Director Shepard's murder, Vance is later promoted to NCIS Director, resulting in him becoming Jenny's replacement.",Recurring_Cast,5x19
Viggo Drantyev,Oleg Taktarov,Natasha's Lieutenant.,Recurring_Cast,5x19
Jasper Shepard,Webster Williams,Jenny Shepard's deceased father. Archive footage. Uncredited role.,Recurring_Cast,5x19
Svetlana Chernitskaya,Kathleen Gati,"AKA ""Natasha Lenkov"", she is the girlfriend/fiancée of the Russian arms dealer Anatoly Zhukov who Gibbs shot dead in Paris in 1999.",Guest_Cast,5x19
Leroy Jethro Gibbs,Mark Harmon,NCIS Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,5x19
Anthony DiNozzo Junior,Michael Weatherly,Senior Special Agent and second-in-command of the NCIS Major Case Response Team.,Series_Regulars,5x19
Ziva David,Cote de Pablo,Mossad Liaison to NCIS and also a member of the NCIS Major Case Response Team.,Series_Regulars,5x19
Timothy McGee,Sean Murray,NCIS Junior Special Agent and a member of the NCIS Major Case Response Team.,Series_Regulars,5x19
Abigail Sciuto,Pauley Perrette,"Forensic Specialist, NCIS.",Series_Regulars,5x19
Jennifer Shepard,Lauren Holly,Director of NCIS. Died from injuries sustained from a gunfight that took place during the previous episode.,Series_Regulars,5x19
Donald Mallard,David McCallum,"Chief Medical Examiner, NCIS.",Series_Regulars,5x19
James Palmer,Brian Dietzen,"Assistant Medical Examiner, NCIS.",Recurring_Cast,6x1
Brent Langer,Jonathan LaPaglia,"Special Agent of NCIS. Joined the agency from the FBI, attached to the NCIS MCRT under Gibbs. Killed by Special Agent Lee.",Recurring_Cast,6x1
Michelle Lee,Liza Lapira,"Special Agent of NCIS, worked in the Legal division of NCIS, killed Agent Langer, subsequently transferred back to the Legal Division.",Recurring_Cast,6x1
Daniel Keating,Jonathan Mangum,"Special Agent of NCIS, transferred from Cyber Crime Unit to NCIS MCRT under Gibbs. Transferred back to Cyber Crime Unit.",Guest_Cast,6x1
Michael Rivkin,Merik Tadros,Mossad Agent.,Guest_Cast,6x1
Eli David,Michael Nouri,Director of Mossad and Ziva's father.,Guest_Cast,6x1
Alice Brodie,Jenny O'Hara,A woman who appears in the episode.,Guest_Cast,6x1
Andy Pringle,Eric Jungmann,A man who appears in the episode.,Guest_Cast,6x1
Dallas,Austin Basis,A man who appears in the episode.,Guest_Cast,6x1
Milaana Shishani,Natalie Denise Sperl,A woman who appears in the episode.,Guest_Cast,6x1
Brian Duane Roberts,Thomas Owen,A Naval Officer who dies in an explosion in a bar in Morocco.,Guest_Cast,6x1
Second Geek,Bradford Anderson,A man who appears in the episode.,Guest_Cast,6x1
Third Geek,Jerry Shea,A man who appears in the episode.,Guest_Cast,6x1
Girl Geek,Jill Czarnowski,A woman who appears in the episode.,Guest_Cast,6x1
Chin,Andrew Hwang,A man who appears in the episode.,Guest_Cast,6x1
Leroy Jethro Gibbs,Mark Harmon,NCIS Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,6x1
Anthony DiNozzo Junior,Michael Weatherly,"Senior Special Agent and second-in-command of the NCIS Major Case Response Team. After being originally transferred to the USS Ronald Regan in the previous episode, DiNozzo is subsequently transferred to the USS Seahawk as the NCIS Agent Afloat for that ship.",Series_Regulars,6x1
Ziva David,Cote de Pablo,Mossad/NCIS Liaison Officer and a member of the NCIS Major Case Response Team. She later rejoins the team at Vance's request after helping her Mossad colleagues with an operation in Morcocco.,Series_Regulars,6x1
Timothy McGee,Sean Murray,Junior Special Agent of the NCIS Major Case Response team who was temporarily transferred to the Cyber Crime Unit. Is later transferred back to the main team.,Series_Regulars,6x1
Abigail Sciuto,Pauley Perrette,Forensic Specialist associated with the NCIS Major Case Response Team.,Series_Regulars,6x1
Leon Vance,Rocky Carroll,Director of NCIS.,Series_Regulars,6x1
Donald Mallard,David McCallum,Chief Medical Examiner associated with the NCIS Major Case Response Team.,Series_Regulars,6x1
Richard Owens,Chris Mulkey,Captain in the United States Navy and also Captain of the USS Seahawk.,Guest_Cast,6x2
Taylor Henley,Eric Nenninger,The killer and also a Corpsman in the United States Navy.,Guest_Cast,6x2
Eduardo Almeida,James Martinez,A Navy Lieutenant in the United States Navy who's assigned to the USS Seahawk.,Guest_Cast,6x2
Hector Cruz,Rene L. Moreno,A man who appears in the episode.,Guest_Cast,6x2
Jonah Kaplan,Marc Jablon,A Navy Lieutenant assigned to the USS Seahawk.,Guest_Cast,6x2
Russell Nguyen,Anthony Brandon Wong,A Navy Doctor and Captain assigned to the USS Seahawk.,Guest_Cast,6x2
Javier Delgado,William Marquez,Nguyen's assistant and a Doctor.,Guest_Cast,6x2
Christina Solomon,Kate Lacey,A Navy Ensign assigned to the USS Seahawk.,Guest_Cast,6x2
Jose,Roberto Sanchez,A man who appears in the episode.,Guest_Cast,6x2
Bryce Armstrong,Austin Priester,A Navy Lieutenant assigned to the USS Seahawk.,Guest_Cast,6x2
Console Operator,Julie Dickens,A Navy Console Operator assigned to the USS Seahawk.,Guest_Cast,6x2
Pilot,Ward Roberts,A Navy Pilot assigned to the USS Seahawk.,Guest_Cast,6x2
Ensign,Ariel Mirabal-Ramos,A Navy Ensign assigned to the USS Seahawk.,Guest_Cast,6x2
Lindy Evans,Shannah Barrett,The wife of Navy Lieutenant Chad Evans who is later found dead in her house. Uncredited role.,Guest_Cast,6x2
US Navy Petty Officer Second Class,Darren Bailey,Uncredited role.,Guest_Cast,6x2
Leroy Jethro Gibbs,Mark Harmon,NCIS Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,6x2
Anthony DiNozzo Junior,Michael Weatherly,"Senior Special Agent and second-in-command of the NCIS Major Case Response Team. After being transferred to the USS Ronald Reagan in Judgment Day Part 2 (episode), DiNozzo was subsequently transferred to the USS Seahawk as the NCIS Agent Afloat for that ship. Is later transferred back to the main NCIS team on a permanent basis.",Series_Regulars,6x2
Ziva David,Cote de Pablo,Mossad/NCIS Liaison Officer and a member of the NCIS Major Case Response Team.,Series_Regulars,6x2
Timothy McGee,Sean Murray,Junior Special Agent of the NCIS Major Case Response team.,Series_Regulars,6x2
Abigail Sciuto,Pauley Perrette,Forensic Specialist associated with the NCIS Major Case Response Team.,Series_Regulars,6x2
Leon Vance,Rocky Carroll,Director of NCIS.,Series_Regulars,6x2
Donald Mallard,David McCallum,Chief Medical Examiner associated with the NCIS Major Case Response Team.,Series_Regulars,6x2
Debra Green,Sheila Frazier,A reporter for ZNN.,Recurring_Cast,6x3
Patrick Kiley,Tim DeKay,United States Senator who served in the military with Gibbs.,Guest_Cast,6x3
Lynn Tripp Kiley,Susan Floyd,Senator Patrick Kiley's wife.,Guest_Cast,6x3
Cole Erickson,Marcus Chait,Senator Patrick Kiley's Chief of Staff.,Guest_Cast,6x3
Charles Graves,William Bumiller,An Admiral in the United States Navy and Navy Lieutenant Commander McLellan's C.O.,Guest_Cast,6x3
Reed Talbot,Bill Sage,Lobbyist attempting to defeat Senator Kiley's energy bill.,Guest_Cast,6x3
Tiffany,Sara Sanderson,Cyclist who found Lt. Commander McLellan's body.,Guest_Cast,6x3
David,Jeffrey G. Barnett,Cyclist who along with Tiffany who discovered Carrie McLellan's body in a swamp.,Guest_Cast,6x3
Carrie McLellan,Debra Arnott,Murder victim and a Lieutenant in the United States Navy who had been having an affair with Senator Patrick Kiley. Uncredited role.,Guest_Cast,6x3
Leroy Jethro Gibbs,Mark Harmon,NCIS Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,6x3
Anthony DiNozzo Junior,Michael Weatherly,Senior Special Agent and second-in-command of the NCIS Major Case Response Team.,Series_Regulars,6x3
Ziva David,Cote de Pablo,Mossad/NCIS Liaison Officer and a member of the NCIS Major Case Response Team.,Series_Regulars,6x3
Timothy McGee,Sean Murray,Junior Special Agent of the NCIS Major Case Response team.,Series_Regulars,6x3
Abigail Sciuto,Pauley Perrette,Forensic Specialist associated with the NCIS Major Case Response Team.,Series_Regulars,6x3
Leon Vance,Rocky Carroll,Director of NCIS.,Series_Regulars,6x3
Donald Mallard,David McCallum,Chief Medical Examiner associated with the NCIS Major Case Response Team.,Series_Regulars,6x3
James Palmer,Brian Dietzen,"Assistant Medical Examiner, NCIS.",Recurring_Cast,6x4
Shannon Gibbs,Aviva,"Gibbs's girlfriend and later, wife.",Recurring_Cast,6x4
Jackson Gibbs,Ralph Waite,NCIS Special Agent Leroy Jethro Gibbs's father.,Guest_Cast,6x4
Chuck Winslow,Richard Lineback,Local businessman who owns the mining company in Stillwater.,Guest_Cast,6x4
Ed Gantry,Casey Sander,Local policeman and long-time friend to Chuck.,Guest_Cast,6x4
Nick Kingston,Christian Campbell,Chuck's son-in-law.,Guest_Cast,6x4
Emily Kingston,Kayla Mae Maloney,Chuck's daughter.,Guest_Cast,6x4
Chris Kingston,Griffin Churchill,Emily and Nick's son.,Guest_Cast,6x4
Seth Welch,Geno Monteiro,Sergeant in the United States Marine Corps.,Guest_Cast,6x4
Janet LaCombe,Dendrie Taylor,Ethan LaCombe's aunt.,Guest_Cast,6x4
Ethan LaCombe,Erik Eidem,Victim and Emily's childhood friend. The two were actually half-brother and sister. Is also Chuck 'Charles' Winslow's son and a Corporal in the United States Marine Corps.,Guest_Cast,6x4
Kelvin Taylor,Brandon Hirsch,Victim and a Corporal in the United States Marine Corps.,Guest_Cast,6x4
Coal Miner,Tim Barraco,Local Miner. Uncredited role.,Guest_Cast,6x4
Coal Miner 2,David Cohen,Uncredited role.,Guest_Cast,6x4
Leroy Jethro Gibbs,Mark Harmon,NCIS Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,6x4
Anthony DiNozzo Junior,Michael Weatherly,Senior Special Agent and second-in-command of the NCIS Major Case Response Team.,Series_Regulars,6x4
Ziva David,Cote de Pablo,Mossad/NCIS Liaison Officer and a member of the NCIS Major Case Response Team.,Series_Regulars,6x4
Timothy McGee,Sean Murray,Junior Special Agent of the NCIS Major Case Response team.,Series_Regulars,6x4
Abigail Sciuto,Pauley Perrette,Forensic Specialist associated with the NCIS Major Case Response Team.,Series_Regulars,6x4
Leon Vance,Rocky Carroll,Director of NCIS. Credited but does not appear in the episode.,Series_Regulars,6x4
Donald Mallard,David McCallum,Chief Medical Examiner associated with the NCIS Major Case Response Team.,Series_Regulars,6x4
Tobias Fornell,Joe Spano,Supervisory Agent with the FBI.,Recurring_Cast,6x5
James Palmer,Brian Dietzen,"Assistant Medical Examiner, NCIS.",Recurring_Cast,6x5
Michael Rivkin,Merik Tadros,Mossad Agent. Uncredited role.,Recurring_Cast,6x5
Cindy Ames,Gina St. John,Reporter with ZNN.,Recurring_Cast,6x5
Jack Kale,Jon Huertas,Sergeant in the United States Marine Corps.,Guest_Cast,6x5
Rick Azari,Ray Abruzzo,Mob Boss.,Guest_Cast,6x5
Elizabeth Adler,Mercedes Renard,The woman who discovered the body of Robert Brewer.,Guest_Cast,6x5
Stefano DelMar,Mark Allan Stewart,Guard to Azari and his successor.,Guest_Cast,6x5
Bruce Rivers,Matthew Mahaney,FBI Agent.,Guest_Cast,6x5
FBI Administrative Assistant,Lauren Rose Lewis,FBI Employee.,Guest_Cast,6x5
Rose Woodhouse,Naama Kates,Uncredited Appearance.,Guest_Cast,6x5
Leroy Jethro Gibbs,Mark Harmon,NCIS Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,6x5
Anthony DiNozzo Junior,Michael Weatherly,Senior Special Agent and second-in-command of the NCIS Major Case Response Team.,Series_Regulars,6x5
Ziva David,Cote de Pablo,Mossad/NCIS Liaison Officer and a member of the NCIS Major Case Response Team.,Series_Regulars,6x5
Timothy McGee,Sean Murray,Junior Special Agent of the NCIS Major Case Response team.,Series_Regulars,6x5
Abigail Sciuto,Pauley Perrette,Forensic Specialist associated with the NCIS Major Case Response Team.,Series_Regulars,6x5
Leon Vance,Rocky Carroll,"Director of NCIS. Despite being credited, Carroll doesn't appear in the episode.",Series_Regulars,6x5
Donald Mallard,David McCallum,Chief Medical Examiner associated with the NCIS Major Case Response Team.,Series_Regulars,6x5
James Palmer,Brian Dietzen,"Assistant Medical Examiner, NCIS.",Recurring_Cast,6x6
Guy Ross,Kent Shocknek,ZNN reporter.,Recurring_Cast,6x6
Tommy Doyle,Patrick J. Adams,The killer.,Guest_Cast,6x6
Rose Woodhouse,Naama Kates,Fourth intended victim.,Guest_Cast,6x6
Sam Loomis,Max Gail,Video Producer—Loominosity and the third victim.,Guest_Cast,6x6
Alice Hardy,Kristen Bush,NCO US Marines.,Guest_Cast,6x6
Jack Burrell,Tim Rettley,NCO US Marines.,Guest_Cast,6x6
Billy Cole,Brian Groh,First victim.,Guest_Cast,6x6
Bob Simms,Charles Noland,Second victim.,Guest_Cast,6x6
Harry Cooper,Mike Kersey,Janitor.,Guest_Cast,6x6
Gary Brolsma,Himself,Archive footage. Uncredited role.,Guest_Cast,6x6
Leroy Jethro Gibbs,Mark Harmon,NCIS Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,6x6
